kod,ad,buyukluk,deger,kaynak,kalite_1_5
M13,Fındık kabuğu esaslı panel,biyojenik_karbon_kg,-1.50,hesap_C_icerigi,2
M13,Fındık kabuğu esaslı panel,yangin_sinif,E,EN 13501-1 sınıflandırma belgesi / üretici beyanı,
M14,Miselyum esaslı kompozit,lambda,0.047,K01;K03,3
M14,Miselyum esaslı kompozit,yogunluk,120,DOLDUR,1
M14,Miselyum esaslı kompozit,ozgul_isi,1714,K03,4
M14,Miselyum esaslı kompozit,gomulu_karbon_kg,DOLDUR,DOLDUR,0
M14,Miselyum esaslı kompozit,biyojenik_karbon_kg,-1.50,hesap_C_icerigi,2
M14,Miselyum esaslı kompozit,yangin_sinif,E,EN 13501-1 sınıflandırma belgesi / üretici beyanı,
R01,EPS,lambda,0.035,DOLDUR,1
R01,EPS,yogunluk,20,DOLDUR,1
R01,EPS,ozgul_isi,1450,DOLDUR,1
R01,EPS,gomulu_karbon_kg,DOLDUR,DOLDUR,0
R01,EPS,biyojenik_karbon_kg,0.00,tanim,5
R01,EPS,yangin_sinif,E,EN 13501-1 sınıflandırma belgesi / üretici beyanı,
R02,XPS,lambda,0.032,DOLDUR,1
R02,XPS,yogunluk,32,DOLDUR,1
R02,XPS,ozgul_isi,1450,DOLDUR,1
R02,XPS,gomulu_karbon_kg,3.174,K15:XPS 32kg/m3 2023,5
R02,XPS,biyojenik_karbon_kg,0.013,K15:XPS 32kg/m3 2023,5
R02,XPS,yangin_sinif,E,EN 13501-1 sınıflandırma belgesi / üretici beyanı,
R03,Taşyünü,lambda,0.037,K05,4
R03,Taşyünü,yogunluk,29,K05,4
R03,Taşyünü,ozgul_isi,1030,K05,4
R03,Taşyünü,gomulu_karbon_kg,1.515,K15:Mineral wool floor ins. 85kg/m3 2022,3
R03,Taşyünü,biyojenik_karbon_kg,0.016,K15:Mineral wool floor ins. 85kg/m3 2022,3
R03,Taşyünü,yangin_sinif,A1,EN 13501-1 sınıflandırma belgesi / üretici beyanı,
R04,Camyünü,lambda,0.035,DOLDUR,1
R04,Camyünü,yogunluk,20,DOLDUR,1
R04,Camyünü,ozgul_isi,1030,DOLDUR,1
R04,Camyünü,gomulu_karbon_kg,1.244,K15:SAGLAN glass wool 2021,4
R04,Camyünü,biyojenik_karbon_kg,-0.166,K15:SAGLAN glass wool 2021,4
R04,Camyünü,yangin_sinif,A1,EN 13501-1 sınıflandırma belgesi / üretici beyanı,
